age,race,years_educ,union_status,smsa_size,region,weekly_earn
62,1,14,2,3,3,350
49,3,18,2,2,3,999
25,1,16,2,2,3,240
32,1,12,2,2,3,339
33,1,14,2,2,3,600
34,1,16,2,2,3,400
27,1,14,2,2,3,360
32,1,17,2,2,3,700
44,2,12,1,3,3,240
40,1,12,1,2,3,400
23,2,14,1,2,3,270
43,2,15,2,2,3,200
28,1,14,2,2,3,650
49,1,12,2,2,3,570
23,1,12,2,3,3,370
22,1,11,2,2,3,262
33,1,12,2,2,3,540
47,1,18,2,2,3,525
36,2,11,1,3,3,240
48,2,6,2,3,3,134
37,1,12,2,2,3,675
30,1,12,2,2,3,236
35,2,12,1,3,3,481
28,1,12,2,3,3,360
57,1,12,1,3,3,568
47,1,16,2,2,3,300
21,1,13,2,2,3,155
37,1,12,2,3,3,400
29,1,16,2,3,3,500
45,2,18,1,2,3,600
38,1,17,2,2,3,746
26,1,15,2,2,3,238
30,1,16,2,2,3,730
26,2,16,2,2,3,240
23,1,16,2,3,3,350
55,2,12,2,3,3,300
35,1,12,2,3,3,262
26,1,12,2,3,3,270
30,1,12,2,3,3,312
30,2,16,2,2,3,240
56,2,11,2,3,3,200
40,1,12,2,3,3,300
46,2,12,2,3,3,300
41,1,16,1,2,1,314
25,1,13,2,2,1,450
36,1,16,1,1,1,600
48,1,18,2,1,1,999
23,1,14,2,1,1,450
23,1,12,2,3,1,276
55,1,9,2,1,1,224
47,1,12,1,1,1,720
47,1,12,1,1,1,800
34,1,12,1,2,1,400
42,2,14,2,1,1,600
61,1,12,2,3,1,255
36,1,12,2,2,1,850
41,1,14,1,2,1,680
26,1,16,2,3,1,280
23,1,16,2,3,1,263
64,1,12,2,1,1,420
38,1,13,2,1,1,999
30,1,12,1,1,1,550
27,1,12,2,1,1,250
29,1,15,2,1,1,675
21,1,12,2,2,1,500
28,1,12,2,1,1,440
30,1,16,1,1,1,400
40,1,12,1,1,1,460
32,1,10,2,1,1,420
35,1,12,2,1,1,400
58,1,12,2,2,1,529
62,1,18,2,1,1,999
26,1,12,2,1,1,450
38,1,12,2,1,1,880
22,1,12,2,1,1,320
59,1,8,1,3,1,520
59,1,10,2,2,1,260
38,1,18,2,1,1,383
27,1,17,1,1,1,425
53,1,5,2,1,1,450
25,1,18,2,1,1,250
39,1,18,2,1,1,999
25,1,13,2,1,1,750
30,1,16,1,1,1,600
60,1,11,1,2,1,280
58,1,9,2,1,1,635
27,1,13,1,1,1,480
32,1,14,2,3,1,600
23,1,12,2,2,1,340
24,1,16,2,1,1,515
54,1,12,2,2,1,560
51,1,15,2,1,1,577
59,1,11,2,3,1,260
28,1,12,2,2,1,405
35,1,0,1,1,1,320
21,1,12,1,1,1,430
26,3,0,2,1,1,140
24,1,12,2,3,1,340
35,1,16,2,1,1,650
28,1,12,2,3,1,360
32,1,16,2,1,1,250
23,1,12,2,1,1,392
23,1,16,2,1,1,250
22,1,16,2,2,1,240
41,1,18,1,3,1,550
40,1,12,2,3,1,650
24,1,12,2,3,1,500
62,1,14,2,3,1,523
34,1,12,1,1,1,500
50,3,6,2,2,1,280
38,1,12,2,1,1,500
21,1,12,1,1,1,640
38,1,10,2,2,1,400
46,1,16,2,1,1,999
24,2,15,1,1,1,999
40,1,18,1,2,1,500
55,1,16,2,1,1,465
34,3,8,2,1,1,240
34,1,12,1,1,1,425
33,1,14,2,3,1,580
44,1,12,2,2,1,500
28,1,12,1,1,1,518
30,1,12,1,3,2,340
22,1,12,2,3,2,200
29,1,12,2,3,2,282
62,1,12,2,2,2,775
59,1,12,2,3,2,999
32,1,13,2,2,2,438
53,1,11,2,3,2,536
27,1,13,1,1,2,730
32,1,12,2,2,2,336
34,1,12,1,3,2,420
63,1,17,2,2,2,550
30,1,12,2,2,2,280
38,1,12,2,3,2,300
24,1,13,2,2,2,480
28,1,16,1,1,2,300
52,1,12,2,2,2,200
29,2,14,1,2,2,334
41,1,12,1,3,2,660
62,1,12,2,3,2,338
47,1,12,2,3,2,500
46,1,12,1,2,2,400
33,1,12,2,2,2,280
36,1,12,1,2,2,600
29,1,12,2,3,2,325
28,1,16,2,3,2,725
26,1,11,2,2,2,140
45,1,16,2,2,2,999
60,1,10,2,2,2,208
31,2,12,2,3,3,150
30,2,12,2,2,3,350
28,2,12,2,1,3,360
37,1,10,1,2,3,320
22,1,9,2,1,3,360
37,1,13,2,2,3,999
61,1,16,2,3,3,346
24,1,16,2,3,3,200
51,2,12,2,3,3,360
41,1,12,2,1,3,232
27,1,16,2,1,3,400
29,1,12,2,2,3,380
32,1,12,2,3,3,125
21,1,9,2,3,3,350
38,1,10,1,3,3,500
49,1,7,2,3,3,420
32,1,13,2,3,3,260
51,1,18,2,2,3,460
57,1,14,2,2,3,280
30,1,13,2,3,3,237
37,2,12,2,3,3,240
45,1,7,2,3,3,240
24,1,12,2,1,3,718
22,1,16,2,1,3,310
21,1,15,2,2,3,170
35,1,16,2,3,3,312
49,2,12,2,3,3,160
30,1,16,2,3,3,500
44,2,9,2,3,3,457
56,1,7,2,3,3,400
26,1,18,2,3,3,400
61,1,12,2,1,3,600
30,2,14,2,2,3,480
48,1,16,2,2,3,675
23,1,12,2,1,3,488
29,1,14,2,1,3,600
36,1,18,2,2,3,999
39,1,12,2,3,3,281
45,1,14,2,2,3,600
30,1,14,2,2,2,600
31,1,12,1,1,2,630
34,1,14,1,1,2,420
37,1,15,2,1,2,999
39,1,14,1,1,2,650
64,1,12,1,1,2,400
30,1,12,2,1,2,125
28,1,16,2,2,2,450
24,1,16,2,2,2,200
63,1,8,2,1,2,348
26,1,12,2,3,2,425
31,1,18,2,1,2,800
31,1,12,1,3,2,480
42,1,17,2,2,2,700
28,1,12,2,1,2,600
34,1,18,2,1,2,800
22,1,16,2,1,2,540
53,1,12,2,2,2,400
41,1,12,2,3,2,500
21,1,12,2,2,2,160
32,1,16,2,2,2,226
57,2,14,1,1,2,360
35,1,16,2,1,2,991
33,1,14,2,2,2,750
36,2,14,2,2,2,131
26,1,12,2,3,2,275
29,1,12,2,2,2,520
48,1,12,1,3,2,520
35,1,12,2,2,2,406
58,1,11,2,2,2,310
23,1,12,2,2,2,160
45,1,12,1,2,2,444
25,1,12,2,2,2,528
56,1,14,2,2,2,846
53,1,12,1,3,2,350
