gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
012992	2011	012992	2011	156.72540253060987	14.32732344676225	0.562	123.09398712291673	33.63141540769314	0.5641010729551336	3332
013003	1998	013003	1998	2591.1220435193945	1533.0803635462714	13.7	2146.521223588773	444.60081993062124	155.98975016015376	3331
013003	1999	013003	1999	1394.988022159006	1514.1832596591428	6.78	1074.6294604980787	320.3585616609273	30.699123211813568	3331
013003	2000	013003	2000	1392.149460994839	559.8663343905754	7.02	909.5930294441627	482.5564315506764	36.664140185752906	3331
013003	2001	013003	2001	1407.3334559048844	508.50954035140717	7.34	998.8399092970523	408.49354660783234	25.01348557043963	3331
013003	2002	013003	2002	1401.7112651182053	315.1930469664048	6.8	946.5566422664215	455.1546228517838	21.270644348853278	3331
013003	2003	013003	2003	1471.1164343786293	313.6294416243655	7.2	964.2080429732868	506.9083914053425	30.62060368622563	3331
013003	2004	013003	2004	1695.0527275094387	331.01945750774513	7.7	1089.3897574889631	605.6629700204757	20.50366410708613	3331
013003	2005	013003	2005	2195.625776026063	351.64374707468744	7.9	1405.7123492088801	789.9134268171827	41.407201624105134	3331
013003	2006	013003	2006	2655.3782878370757	388.4179909510331	8.9	1624.6704699990053	1030.7078178380707	51.47503147293328	3331
013003	2007	013003	2007	2729.1078755932676	408.643486777669	9.2	1648.043368795466	1081.0645067978016	52.50343568600907	3331
013003	2008	013003	2008	3507.462349706595	486.08984061971336	11.8	2163.725429849399	1343.7369198571955	84.14609773158789	3331
013003	2009	013003	2009	3598.314	551.2821636305879	11.3	2221.4011	1376.9128999999998	94.128	3331
013003	2010	013003	2010	3516.59748553183	641.6486804145742	11.9	2082.4542007583314	1434.1432847734984	72.74653465346535	3331
013003	2011	013003	2011	4289.672033741465	720.2213596307176	14.5	2483.1438785151418	1806.5281552263232	107.12395684917566	3331
013003	2012	013003	2012	5384.348843402831	988.3896349139741	18.019	3083.815796682393	2300.5330467204385	229.3159268929504	3331
013003	2013	013003	2013	4697.715196101401	1363.167394826985	16.6	2733.1172859753524	1964.5979101260484	144.46955571877882	3331
013003	2014	013003	2014	3484.9792929153173	1440.8274208054363	15.4	1980.8531872307842	1504.126105684533	84.32743231732157	3331
013011	1998	013011	1998	168.7557541364764	141.70006355135337	1.367	116.64899221338547	52.10676192309095	16.424025598337526	3342
013011	1999	013011	1999	182.21691013722887	144.73222733867408	1.408	126.61264394274752	55.60426619448133	34.933179723502306	3342
013011	2000	013011	2000	174.09680292982281	156.6462680577849	1.289	134.89637797353922	39.20042495628361	36.5142876574136	3342
013011	2001	013011	2001	166.83619912178244	170.89166196768736	0.843	141.97416576725757	24.86203335452489	5.438814747794617	3342
013011	2002	013011	2002	111.44357766277902	151.10168677014752	0.542	113.64364408743337	-2.2000664246543518	13.452994688728303	3342
013011	2003	013011	2003	82.56107971868775	102.83140283140283	0.498	87.9213236310419	-5.36024391235415	27.385682055797062	3342
013011	2004	013011	2004	103.08407979940394	98.72235023041475	0.428	91.59665673254705	11.487423066856886	6.976214492564996	3342
013011	2005	013011	2005	111.06390047298065	99.175951849291	0.41	87.56990234392076	23.493998129059896	5.8431318594092305	3342
013011	2006	013011	2006	103.69502850709954	100.21763032315837	0.353	83.66222627737226	20.032802229727288	3.9646205113831012	3342
013011	2007	013011	2007	66.06442815749105	90.24857463473245	0.254	71.23439387913564	-5.1699657216445924	1.5479185263328734	3342
013011	2008	013011	2008	82.69155129011956	80.46087754893848	0.238	70.83543108873505	11.856120201384512	2.672707581944817	3342
013011	2009	013011	2009	116.144	58.03872663096127	0.308	89.393116	26.750884	3.117	3342
013011	2010	013011	2010	66.55067068606228	61.12254443405052	0.254	81.93841018067047	-15.387739494608203	1.0274885258846171	3342
013011	2011	013011	2011	76.68804496649132	54.55676002861388	0.247	75.93770782075171	0.7503371457396109	1.679559079481725	3342
013011	2012	013011	2012	61.86499079435936	51.877874155151495	0.234	70.08211637164045	-8.217125577281099	1.482964410751729	3342
013011	2013	013011	2013	51.44955784895053	51.875576036866356	0.177	69.50998789470445	-18.06043004575391	0.7254946127566918	3342
013027	1998	013027	1998	237.21480189713714	123.89026109041181	0.824	170.70649069266642	66.5083112044707	7.9537599809319515	3261
