ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
162	1	1	40	2	6.00	5	-9	33.00	400.00	400.00	-8.00	10	4	-9	-9	2	-9	-9	2	2
163	1	1	24	10	5.50	3	-9	30.00	-9.00	-9.00	10.00	3	4	-9	-9	2	-9	-9	2	-9
164	1	1	22	10	7.00	3	-9	33.33	160.00	-9.00	-8.00	-9	4	-9	-9	2	-9	-9	2	-9
165	1	1	32	10	6.00	15	-9	35.00	260.00	300.00	10.00	4	4	2	4	2	-9	-9	2	-9
166	1	1	30	5	6.00	12	-9	35.00	-9.00	200.00	12.00	-9	4	-9	-9	2	-9	-9	2	-9
167	1	1	34	10	6.00	15	-9	35.00	-9.00	240.00	12.00	3	4	-9	1	2	2	-9	2	2
168	1	1	22	10	6.00	-8	-9	35.00	-9.00	150.00	-9.00	-9	4	-9	-9	-9	-9	-9	2	-9
169	1	1	28	10	6.00	6	-9	35.00	300.00	125.00	9.00	-9	4	-9	-9	2	-9	-9	2	-9
170	1	1	25	10	7.00	-8	-9	30.00	225.00	190.00	10.00	-9	4	2	-9	2	-9	-9	2	2
171	1	1	23	10	7.00	1	-9	30.00	-9.00	-9.00	10.00	-9	2	-9	-9	-9	-9	-9	2	-9
172	1	1	19	10	6.00	2	-9	30.00	190.00	-9.00	10.00	-9	2	-9	-9	-9	-9	-9	2	-9
173	1	1	29	10	10.00	24	2	50.00	500.00	250.00	13.00	1	4	-9	-9	2	-9	-9	1	-9
174	1	1	27	10	6.00	6	-9	35.00	-9.00	-9.00	-9.00	3	4	-9	1	2	-9	-9	2	2
175	1	1	44	10	6.00	-9	-9	35.00	-9.00	-9.00	-9.00	6	4	2	3	2	-9	-9	1	2
176	1	1	20	10	6.00	3	-9	30.00	275.00	105.00	8.00	3	4	-9	-9	-9	2	-9	2	-9
177	1	1	22	10	6.00	-8	-9	33.33	-9.00	-9.00	-8.00	-9	4	-9	-9	2	-9	-9	1	-9
178	1	1	21	10	6.00	5	2	40.00	400.00	200.00	10.00	-9	5	-9	-9	2	-9	-9	2	-9
179	1	1	21	10	6.00	4	-9	35.00	200.00	100.00	8.00	-9	2	-9	-9	2	-9	-9	2	-9
180	1	1	20	10	7.00	1	-9	25.00	-9.00	-9.00	4.00	-9	2	-9	-9	-9	-9	-9	2	-9
181	1	1	28	10	6.00	10	-9	30.00	120.00	-9.00	-8.00	-9	3	-9	-9	-9	-9	-9	2	-9
182	2	1	19	10	6.00	1	-9	30.00	60.00	-9.00	-8.00	2	4	-9	1	-9	-9	-9	2	-9
183	2	1	20	10	6.00	2	-9	30.00	120.00	-9.00	7.00	-9	4	-9	-9	-9	-9	-9	4	-9
184	2	1	25	10	6.00	1	-9	30.00	-9.00	-9.00	-8.00	-9	4	-9	-9	-9	-9	-9	2	-9
185	2	1	22	10	6.00	9	-9	30.00	240.00	140.00	8.00	-9	5	-9	-9	2	-9	-9	2	-9
186	2	1	34	10	6.00	19	-9	35.00	190.00	-9.00	5.00	3	4	-9	-9	2	-9	-9	-9	2
187	2	1	21	10	6.00	8	-9	30.00	270.00	-9.00	9.00	-9	4	2	-9	2	2	-9	2	-9
188	2	1	18	10	6.00	1	-9	27.00	54.00	96.00	8.00	-9	4	-9	-9	-9	2	-9	2	-9
189	2	1	26	10	6.00	15	-9	35.00	400.00	200.00	10.00	3	4	-9	-9	2	-9	-9	2	2
190	2	1	20	10	7.00	5	-9	30.00	234.00	64.00	-9.00	8	4	-9	-9	2	-9	-9	2	-9
191	2	1	25	10	6.00	11	-9	30.00	275.00	150.00	8.00	-9	2	-9	-9	2	-9	-9	2	-9
192	2	1	27	10	6.00	18	-9	40.00	320.00	160.00	13.33	-9	4	-9	-9	2	-9	-9	1	-9
193	2	1	20	10	7.00	7	-9	35.00	302.50	-9.00	9.00	7	4	-9	-9	-9	2	-9	2	-9
194	2	1	24	10	6.00	13	-9	30.00	252.50	-9.00	8.00	-9	4	-9	-9	2	-9	-9	2	-9
195	2	1	18	10	6.00	-8	-9	35.00	-9.00	-9.00	10.00	-9	4	-9	-9	-9	-9	-9	2	-9
196	2	1	17	8	6.00	1	-9	29.50	105.75	85.35	8.00	-9	4	-9	-9	-9	-9	-9	1	-9
197	2	1	31	10	6.00	4	-9	37.00	400.00	300.00	-9.00	2	4	-9	1	2	-9	-9	4	2
198	2	1	21	10	6.00	4	2	35.00	297.00	200.00	16.00	-9	4	-9	-9	2	-9	-9	-9	-9
199	2	1	30	10	6.00	13	-9	-9.00	-9.00	-9.00	-9.00	3	2	-9	-9	-9	-9	-9	2	-9
200	2	1	19	10	6.00	3	-9	35.00	187.00	121.00	8.00	-9	4	-9	-9	-9	-9	-9	2	-9
201	2	1	21	10	6.00	5	-9	28.00	196.00	56.00	8.00	-9	4	-9	-9	-9	-9	-9	2	-9
202	2	1	30	10	6.00	7	-9	25.00	-9.00	-9.00	8.00	2	4	-9	-9	-9	-9	-9	2	-9
203	2	1	20	10	6.00	5	-9	25.00	190.00	-9.00	8.00	-9	5	-9	-9	-9	-9	-9	2	-9
204	2	1	21	10	6.00	4	-9	40.00	210.00	140.00	12.00	-9	4	-9	-9	2	-9	-9	2	-9
205	2	1	17	10	6.00	1	-9	35.00	-9.00	-9.00	-9.00	-9	4	-9	-9	2	-9	-9	2	-9
206	2	1	19	10	6.00	2	-9	28.00	84.00	-9.00	8.00	-9	4	-9	-9	-9	-9	-9	2	-9
207	2	1	18	10	6.00	3	-9	30.00	225.00	150.00	10.00	-9	4	-9	-9	-9	-9	-9	2	-9
